Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour2.2,96,Familiar2,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,79.1,Familiar3,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,18.3,Water1,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,8.4,Water2,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,2.8,Water3,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,39.4,Novel1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,69.1,Novel2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,11.3,Novel3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour2.1,45,Familiar1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,15.8,Familiar2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,12.9,Water1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.1,H,Water1,Water,1
Odour3.2,12.3,Water2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.2,H,Water2,Water,2
Odour3.3,9.6,Water3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.3,H,Water3,Water,3
Odour1.1,32.8,Familiar1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,18.72,Familiar2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,5.56,Familiar3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour2.1,20.6,Novel1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.1,H,Novel1,Novel,1
Odour2.2,8.84,Novel2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.2,H,Novel2,Novel,2
Odour2.3,7.12,Novel3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.3,H,Novel3,Novel,3
Odour3.1,10.12,Water1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,4.28,Water2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,5,Water3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour3.1,16.84,Water1,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,8.96,Water2,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,2.64,Water3,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,37.68,Novel1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,6.32,Novel2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,3.52,Novel3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,23.92,Familiar1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,0,Familiar2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,11.4,Familiar3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,11.04,Water1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,0.96,Water2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,21,Novel1,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,3.76,Novel2,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.8,Novel3,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,27.32,Water1,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.1,G,Water1,Water,1
Odour1.2,6.96,Water2,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.2,G,Water2,Water,2
Odour1.3,5.96,Water3,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.3,G,Water3,Water,3
Odour2.1,39.8,Familiar1,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,11.16,Familiar2,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,3.36,Familiar3,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,41.68,Water1,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.1,H,Water1,Water,1
Odour1.2,19.4,Water2,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.2,H,Water2,Water,2
Odour1.3,42.76,Water3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.3,H,Water3,Water,3
Odour2.1,11.64,Familiar1,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,0.84,Familiar2,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0.76,Familiar3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour1.1,20.8,Novel1,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,4.88,Novel2,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.12,Novel3,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,34.6,Novel1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,20.44,Novel2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,12.84,Novel3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,16.8,Water1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,1.96,Water2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,34.12,Familiar1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,17.36,Familiar2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,14.4,Familiar3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,38.36,Novel1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,24.28,Novel2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,27.88,Novel3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,47.36,Water1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,15.8,Water2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,20.92,Familiar1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,15.32,Familiar2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,3.76,Familiar3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,16.76,Water1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour1.1,H,Water1,Water,1
Odour1.2,1.76,Water2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour1.2,H,Water2,Water,2
Odour1.3,7,Water3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour1.3,H,Water3,Water,3
Odour2.1,54.48,Familiar1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,4.28,Familiar2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,17.64,Familiar3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,39.08,Novel1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,10.76,Novel2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,7.88,Novel3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,Odour3.3,H,Novel3,Novel,3
Odour2.1,32.32,Familiar1,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,6.76,Familiar2,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0.88,Familiar3,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,31.4,Novel1,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,11.12,Novel2,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,4.48,Novel3,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,Odour3.3,H,Novel3,Novel,3
Odour1.1,10.72,Water1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour1.1,H,Water1,Water,1
Odour1.2,10.84,Water2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour1.2,H,Water2,Water,2
Odour1.3,2.64,Water3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour1.3,H,Water3,Water,3
Odour2.1,45.2,Familiar1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,9.2,Familiar2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,5.12,Familiar3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,22.64,Novel1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,23.28,Novel2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,4,Novel3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,Odour3.3,H,Novel3,Novel,3
Odour1.1,16.36,Water1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour1.1,G,Water1,Water,1
Odour1.2,2.68,Water2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour1.2,G,Water2,Water,2
Odour1.3,7.16,Water3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour1.3,G,Water3,Water,3
Odour2.1,43.92,Familiar1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,80.88,Familiar2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,20.36,Familiar3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,53.4,Novel1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour3.1,G,Novel1,Novel,1
Odour3.2,20.92,Novel2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour3.2,G,Novel2,Novel,2
Odour3.3,15.92,Novel3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,Odour3.3,G,Novel3,Novel,3
Odour1.1,17.16,Water1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour1.1,G,Water1,Water,1
Odour1.2,14.64,Water2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour1.2,G,Water2,Water,2
Odour1.3,0,Water3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour1.3,G,Water3,Water,3
Odour2.1,71.92,Familiar1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,51.64,Familiar2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,1.4,Familiar3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,40.12,Novel1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour3.1,G,Novel1,Novel,1
Odour3.2,8.28,Novel2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour3.2,G,Novel2,Novel,2
Odour3.3,36.88,Novel3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,Odour3.3,G,Novel3,Novel,3
Odour1.1,34.36,Familiar1,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,10.44,Familiar2,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour1.2,G,Familiar2,Familiar,2
Odour1.3,0,Familiar3,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,22.48,Novel1,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,8.04,Novel2,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,7.68,Novel3,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,Odour2.3,G,Novel3,Novel,3
Odour1.1,46.08,Familiar1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,30.04,Familiar2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour1.2,G,Familiar2,Familiar,2
Odour1.3,13.64,Familiar3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,48.96,Novel1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,65.4,Novel2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,24.32,Novel3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour2.3,G,Novel3,Novel,3
Odour3.1,22.4,Water1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,7.32,Water2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,1.8,Water3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,22.32,Novel1,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,18.48,Novel2,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,9.92,Novel3,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,32.72,Familiar1,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,5.04,Familiar2,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,28.48,Novel1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,60.28,Novel2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,31.08,Novel3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,77.08,Familiar1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,83.88,Familiar2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,66.72,Familiar3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,12.92,Water1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,4.96,Water2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,1.28,Water3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,Odour3.3,G,Water3,Water,3
Odour2.1,13.24,Familiar1,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,10.24,Familiar2,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,Odour2.3,H,Familiar3,Familiar,3
