FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
copper Animal_1 front_neck distance,0.03474175867176139,0.05410473751139652
copper Animal_1 front distance,0.03237413935556914,0.05081760375657595
copper Animal_1 facing,0.029090817769949654,0.06064729657267856
copper Animal_1 back_neck distance,0.027636657579238555,0.04878988643665513
Mean_probabilities,0.026722812398769565,0.048453943172308146
Sum_probabilities,0.02643041844889802,0.04640841911519544
copper Animal_1 nose distance,0.024154158393630477,0.04026638529886355
hopper Animal_1 front_neck distance,0.021671841526983746,0.041959561735466167
Low_prob_detections_0.5,0.020094208224273918,0.044544066548962556
hopper Animal_1 nose distance,0.018495616499333695,0.034377764658915275
Low_prob_detections_0.75,0.018131413293120634,0.04122348338761074
hopper Animal_1 front distance,0.01777414204316626,0.034075684211795125
copper Animal_1 base_tail distance,0.017594399339794037,0.03494131711023911
copper Animal_1 ear_left distance,0.017463436784589715,0.03426559069399225
Low_prob_detections_0.1,0.017366302255929205,0.03974910951353283
copper Animal_1 abdomen distance,0.01568388844985654,0.02562876468858895
hopper Animal_1 base_tail distance,0.01488803516736166,0.031545810568938674
hopper Animal_1 nose in zone,0.01386090602051759,0.03422799971579771
hopper Animal_1 front in zone,0.012947792746837496,0.029076527042088778
hopper Animal_1 facing,0.011865087875054373,0.032127925253651164
hopper Animal_1 ear_left distance,0.01064602061901749,0.020030560819421197
copper Animal_1 ear_right distance,0.009827395221789803,0.019898817822664727
copper Animal_1 back distance,0.00940705636395376,0.016003148078563432
Mean_All_bp_movements_Animal_1_mean_15,0.009313482117855298,0.004987675749974198
Sum_All_bp_movements_Animal_1_mean_15,0.009279678078009229,0.0046077184784550996
hopper Animal_1 back_neck distance,0.008959155025045913,0.016420954309655903
hopper Animal_1 ear_right distance,0.008881150255591937,0.015650721553706882
hopper Animal_1 abdomen distance,0.008149591037218854,0.014303220894867134
hopper Animal_1 back distance,0.00768726169354838,0.010646685935108958
copper Animal_1 back2 distance,0.007062255108297465,0.008165415609476902
hopper Animal_1 back2 distance,0.006876840945326002,0.010665517531654439
All_bp_movements_Animal_1_sum,0.006681840428723312,0.021718981729634764
All_bp_movements_Animal_1_max,0.006301993837002749,0.021202130304243345
Angle (degrees) nose-back-base_tail,0.006237401282303772,0.016524851493778477
Angle (degrees) ear_right-back2-abdomen,0.005738471061915404,0.01455961637241279
Angle (degrees) nose-abdomen-base_tail,0.005704839240926614,0.013727738863284404
All_bp_movements_Animal_1_mean,0.005360093308367513,0.01853225884997179
Angle (degrees) nose-back2-base_tail,0.005140710196652045,0.010513638950632148
Angle (degrees) ear_left-front_neck-abdomen,0.00506410510185287,0.012762643376576021
Sum_All_bp_movements_Animal_1_mean_7.5,0.005013141872505389,0.0023971841461204683
Mean_All_bp_movements_Animal_1_mean_7.5,0.004839565219037646,0.002005570873812544
Sum_All_bp_movements_Animal_1_mean_2,0.004815358358113093,0.016161402201854642
Angle (degrees) ear_left-abdomen-base_tail,0.004668568718528945,0.009778682400099728
Mean_All_bp_movements_Animal_1_mean_2,0.004621224642735419,0.015028954675007046
Angle (degrees) ear_left-back2-base_tail,0.004533169526722025,0.00868420057890527
Angle (degrees) nose-ear_left-abdomen,0.004425184425776928,0.009923944153377998
Angle (degrees) front-ear_left-ear_right,0.0042909378762815645,0.006630181649046127
Angle (degrees) nose-ear_left-back_neck,0.004279277857394281,0.005108953091394417
Mean_All_bp_movements_Animal_1_mean_6,0.004217292458540489,0.003410292256177097
Sum_All_bp_movements_Animal_1_mean_6,0.004129642336588283,0.00175143668848213
Angle (degrees) ear_left-front_neck-back2,0.0041290403431434725,0.009816446092828475
Angle (degrees) back2-abdomen-base_tail,0.004127718710098859,0.00436239427067025
Angle (degrees) nose-back2-abdomen,0.004077510006798309,0.005564522993298754
Angle (degrees) nose-front_neck-back_neck,0.0040489545007964785,0.007908867018689033
Angle (degrees) nose-back-back2,0.003996899809556611,0.007908533245388809
Angle (degrees) nose-back_neck-base_tail,0.003977416697996279,0.009274930134086274
Angle (degrees) ear_left-ear_right-abdomen,0.003877442975186939,0.007344581888992576
Angle (degrees) ear_left-back-base_tail,0.003864428761209625,0.006010623044674743
Sum_All_bp_movements_Animal_1_mean_5,0.003750306262278826,0.003915697557890212
Angle (degrees) back-back2-abdomen,0.0037475333800497013,0.004891412503681864
Angle (degrees) ear_right-back-abdomen,0.003711927153806838,0.008501116743285964
Angle (degrees) front-front_neck-base_tail,0.003685993081917562,0.005644985846032352
Mean_All_bp_movements_Animal_1_mean_5,0.0036458842676202296,0.0030407539738400683
Angle (degrees) front-ear_left-back_neck,0.003642543133355394,0.0041856698071695096
Angle (degrees) front-back-base_tail,0.0036398450426401467,0.004941843416459434
Angle (degrees) nose-front_neck-base_tail,0.00359298713988816,0.005778820841769141
Angle (degrees) front-back2-base_tail,0.0035809791916797122,0.004393822483832606
Angle (degrees) back_neck-back2-abdomen,0.0035042629258695006,0.005477171571595449
Angle (degrees) front-front_neck-back_neck,0.003466182300489948,0.003731588009480695
Angle (degrees) nose-ear_left-front_neck,0.0033768798264898815,0.004133195334881656
Angle (degrees) ear_left-back-back2,0.003365219968063122,0.005375511459315044
Angle (degrees) ear_left-front_neck-back,0.0033082539544677953,0.003836996258335177
Angle (degrees) front_neck-back-base_tail,0.0032916041631118917,0.0025394600677712174
Angle (degrees) front_neck-back2-base_tail,0.003280263118286302,0.0030561452232859307
Angle (degrees) ear_right-back_neck-abdomen,0.0032555207718324678,0.0034906610515400174
Angle (degrees) ear_left-ear_right-base_tail,0.003243143812582502,0.00499224784974399
Angle (degrees) nose-back_neck-abdomen,0.0032399264626311935,0.004166437235237588
Angle (degrees) nose-front_neck-back,0.0032362853308466706,0.002642864038641765
Angle (degrees) ear_left-back2-abdomen,0.0032144123449174174,0.00231043829413691
Angle (degrees) back_neck-abdomen-base_tail,0.003204499797003621,0.0028561416925606702
Angle (degrees) nose-ear_left-ear_right,0.0032037580292875864,0.0018994554296802024
Angle (degrees) front-abdomen-base_tail,0.0032007110024067672,0.0030930617952620656
Angle (degrees) front_neck-back2-abdomen,0.0031897799150150726,0.00453519214821999
Angle (degrees) nose-back-abdomen,0.003182779453032052,0.003629779094160383
Angle (degrees) ear_left-front_neck-back_neck,0.00317331294289041,0.003995981074829277
Angle (degrees) nose-front-ear_left,0.0031676540815095333,0.002042110462186867
Angle (degrees) back-abdomen-base_tail,0.0031620790749184936,0.0005909843756583054
Angle (degrees) front_neck-abdomen-base_tail,0.0031470993109938474,0.0024515003458174815
Angle (degrees) front-front_neck-abdomen,0.003087045570218649,0.0033503135878126737
Angle (degrees) front-back2-abdomen,0.003079572022471233,0.0020663335939869374
Angle (degrees) ear_left-front_neck-base_tail,0.0030755249557272686,0.003234480766032225
Angle (degrees) front-front_neck-back,0.003072755263299624,0.0022148818093345197
Angle (degrees) ear_left-back_neck-abdomen,0.003062927792184072,0.0028221294450311205
Angle (degrees) ear_left-back_neck-base_tail,0.0030532767070731866,0.0026982857826940774
Angle (degrees) nose-front_neck-back2,0.0030507973959491546,0.0020186569020099075
Angle (degrees) front-ear_left-abdomen,0.0030494875185867404,0.0036269950231174906
Angle (degrees) ear_left-ear_right-back,0.0030424339973071143,0.0009387177917244352
Angle (degrees) back_neck-back-base_tail,0.0030360720195552796,0.0015694212399954242
Angle (degrees) ear_left-ear_right-back2,0.0030265928691079213,0.002317361182190313
Angle (degrees) ear_right-back_neck-back2,0.0030090054248853395,0.00048299356956163156
Angle (degrees) ear_right-abdomen-base_tail,0.0030026429485544223,0.0011165402720288784
Angle (degrees) front-ear_right-abdomen,0.0030014685584630403,0.0011013554019778688
Angle (degrees) back-back2-base_tail,0.0029987183568776677,0.0005412879623884813
Angle (degrees) front-ear_right-base_tail,0.002993111471691202,0.001826100619690548
Angle (degrees) front_neck-back-back2,0.0029817871481809897,0.002954454873576694
Angle (degrees) ear_right-front_neck-back2,0.002978909624040521,0.0006720423356462885
Angle (degrees) back_neck-back2-base_tail,0.0029706733354870744,0.0011674400013671226
Angle (degrees) nose-ear_left-back,0.0029603820461050995,0.001132163060819344
Angle (degrees) front-front_neck-back2,0.0029329215353542464,0.002019638608820647
Angle (degrees) nose-front_neck-abdomen,0.0029101592931732633,0.0032034884643007853
Angle (degrees) nose-ear_right-front_neck,0.0029032121515135648,0.001335985336982954
Angle (degrees) front-ear_left-front_neck,0.0028998560384301303,0.0013863741189036563
Angle (degrees) ear_left-back-abdomen,0.0028984468945276996,0.0031755244641050676
Angle (degrees) ear_right-back_neck-back,0.0028971973065868143,0.0003984747766802515
Angle (degrees) ear_right-front_neck-abdomen,0.0028966512952197133,0.0008212344812606253
Angle (degrees) ear_right-front_neck-base_tail,0.0028881364925927417,0.0009680872683658481
Angle (degrees) front-ear_right-back_neck,0.0028754570412835934,0.0006683224114579474
Angle (degrees) front-ear_right-back2,0.0028630375064376064,0.0011743080896678207
Angle (degrees) ear_right-back2-base_tail,0.00285885901097296,0.0014905781023525912
Angle (degrees) nose-front-front_neck,0.0028556319036027685,0.0025524362599072727
Angle (degrees) front-back_neck-base_tail,0.0028374485588904363,0.003767663289751756
Angle (degrees) ear_right-front_neck-back_neck,0.0028272963051058004,0.0028361938294648383
Angle (degrees) ear_left-ear_right-back_neck,0.0028183165551640076,0.0010123212399204586
Angle (degrees) nose-ear_right-back_neck,0.002817740386917755,0.000595116610864457
Angle (degrees) nose-front-ear_right,0.0028151109638147663,0.0008800948786139801
Angle (degrees) nose-front-back,0.0028075462297946566,0.0008582396521388696
Angle (degrees) ear_right-front_neck-back,0.002803179440096516,0.000518847226761216
Angle (degrees) front-ear_right-back,0.0027986266146522985,0.0006987266775488863
Angle (degrees) front-ear_left-back,0.0027970233545298643,0.0008756455082547953
Angle (degrees) ear_right-back_neck-base_tail,0.0027905333165733673,0.0004754723138681551
Angle (degrees) nose-ear_right-base_tail,0.0027901564389142216,0.0028128091798455598
Angle (degrees) front-back-abdomen,0.002779675414663607,0.001253822683630825
Angle (degrees) ear_right-back-base_tail,0.002774442650137751,0.0006015113570883522
Angle (degrees) nose-ear_left-back2,0.0027724618339493496,0.0019498680594028466
Angle (degrees) nose-ear_right-abdomen,0.002763764956688422,0.001973069478136963
Angle (degrees) front_neck-back_neck-base_tail,0.0027602466217657596,0.002390420790239742
Angle (degrees) ear_right-back-back2,0.0027545424121699653,0.00037523514635290985
Angle (degrees) front_neck-back_neck-back2,0.0027427009416853758,0.001668748050079207
Angle (degrees) front-ear_left-back2,0.002740959431246553,0.0007483297198083466
Angle (degrees) ear_left-ear_right-front_neck,0.002722769595854561,0.00046504022814834365
Angle (degrees) nose-front-back_neck,0.0027131486984165293,0.0008386321847660444
Angle (degrees) front-back-back2,0.0027129820041159195,0.0012125284321119025
Angle (degrees) front_neck-back_neck-abdomen,0.0027118368424373543,0.0020405020692071713
Angle (degrees) front-ear_left-base_tail,0.002699919415723995,0.0006019455403535523
Angle (degrees) back_neck-back-back2,0.0026958998139075966,0.000398858330685507
Angle (degrees) ear_left-back_neck-back2,0.0026813716240965835,0.00045438180524895927
Angle (degrees) front-ear_right-front_neck,0.0026780575631263643,0.0005256883902756654
Angle (degrees) nose-ear_right-back,0.0026714752805903773,0.001092314286989777
Angle (degrees) front_neck-back_neck-back,0.00265818576718509,0.0008971990259584461
Angle (degrees) back_neck-back-abdomen,0.0026562929102475043,0.0004002071831960364
Movement_front_neck,0.002648575575057417,0.010964838659967661
Angle (degrees) nose-ear_left-base_tail,0.002647086573047045,0.0022975256873361562
Angle (degrees) ear_left-back_neck-back,0.0026318105767456387,0.0004366436317719084
Angle (degrees) nose-front-base_tail,0.0026151224969803133,0.0014300047035025274
Angle (degrees) front-back_neck-abdomen,0.002597497921172629,0.0007004581650562427
Animal_1 movement back (mm),0.0025878605064468788,0.010218473806515221
Angle (degrees) nose-front-abdomen,0.002586366539226597,0.001310360307321916
Angle (degrees) front_neck-back-abdomen,0.002574426621725165,0.0009576058582281623
Angle (degrees) nose-back_neck-back2,0.002567370768595412,0.000995849854538261
Angle (degrees) nose-ear_right-back2,0.002559869891390831,0.0006063903683859643
Angle (degrees) nose-back_neck-back,0.0025310907530636355,0.0006050764121140519
Angle (degrees) front-back_neck-back2,0.002493923959191012,0.00040571298317172266
Angle (degrees) nose-front-back2,0.0024868441502637864,0.0005281223550027596
Angle (degrees) front-back_neck-back,0.0024718420638488174,0.0003525778152718848
Animal_1 movement front_neck (mm),0.0023915646666158768,0.009068120383866014
Movement_back_neck,0.002228746224988828,0.008787602919243664
Animal_1 movement back_neck (mm),0.002195182951593961,0.008124085937430536
Animal_1 movement abdomen (mm),0.0021847768393877805,0.007559774806700443
Movement_back,0.0021104702958905223,0.007232748811537328
Movement_abdomen,0.002097147775381829,0.007419701638503577
Movement_nose,0.0020526105052943947,0.005109292892652781
Movement_back2,0.002043584095708976,0.007081599924883619
hopper Animal_1 front_neck in zone,0.002000959090824789,0.008907321442241023
Movement_front,0.001990753063721777,0.006444603417774667
Animal_1 movement nose (mm),0.0018915754893871263,0.0029112070988033625
Movement_base_tail,0.001879603570537843,0.002400359167268021
Animal_1 movement base_tail (mm),0.0018290026884306664,0.0008245568047081225
Animal_1 movement back2 (mm),0.00181763727939328,0.004721934453896399
Animal_1 movement front (mm),0.0017948431086068951,0.004302137073514568
Animal_1 movement ear_right (mm),0.0017585316772341908,0.004991010479725684
Movement_ear_right,0.0017464149133765482,0.004899424446537654
Animal_1 movement ear_left (mm),0.0017378928974939208,0.00460432164112654
Movement_ear_left,0.001595296726952096,0.003168882423786491
hopper Animal_1 base_tail in zone,0.0012405727123697636,0.007252222198701325
hopper Animal_1 ear_left in zone,0.001148315007566382,0.0076725081292591075
All_bp_movements_Animal_1_min,0.0009925531169241557,0.00011709042899670553
hopper Animal_1 abdomen in zone,0.0003823415312882924,0.0007772844445941248
hopper Animal_1 ear_right in zone,0.00015026830148472567,0.00024149355284886336
hopper Animal_1 back in zone,0.00010197756819990708,0.0004701918819774604
hopper Animal_1 back2 in zone,9.753628929666643e-05,0.0009064030373178515
hopper Animal_1 back_neck in zone,5.860475331929716e-05,4.8668360578057e-05
copper Animal_1 ear_left in zone,2.349355531201037e-05,2.362488340353364e-05
copper Animal_1 base_tail in zone,9.667600486683952e-09,2.6486208244844776e-07
copper Animal_1 ear_right in zone,5.696211493589362e-09,2.546786287343717e-07
copper Animal_1 back in zone,0.0,0.0
copper Animal_1 front in zone,0.0,0.0
copper Animal_1 abdomen in zone,0.0,0.0
copper Animal_1 back_neck in zone,0.0,0.0
copper Animal_1 back2 in zone,0.0,0.0
copper Animal_1 front_neck in zone,0.0,0.0
copper Animal_1 nose in zone,0.0,0.0
